user_id,song_id,listen_count,title,release,artist_name,year
106,698a1b0ee6974de4ad64f3d3ac4550df,5,You and Your Heart,Sing-A-Longs and Lullabies for the Film Curious George,Ed Sheeran,2013
107,87d2ddff1d1f451dabbdbcc4a6f68105,6,Flake,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2010
108,d48fd57609c949d387eae1470060648e,11,Good People,Sleep Through the Static,Ed Sheeran,2001
109,8cafff4dcbe346bcbb6b85e6c82aaea4,13,Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Adele,2010
110,52b8d954ee0d495b97f5b602c4b95da9,18,If I Had Eyes,To the Sea,Jack Johnson,2006
111,05537f836d3048878a2127f2be92f649,8,Banana Pancakes,In Between Dreams,Jack Johnson,2015
112,2d4ce4be16074172930770b0219eef92,20,"Sitting, Waiting, Wishing",Brushfire Fairytales,Coldplay,2011
113,5be11e8da2304666b02cd6b2c085eebb,18,Better Together,Brushfire Fairytales,Adele,2010
114,033005094328456b9bc8f0fba6af5bce,7,Breakdown,To the Sea,Norah Jones,2001
115,73abfe1579f047028ddea6b97aa77adc,14,You and Your Heart,To the Sea,Norah Jones,2000
116,ec9eb34dacde4f2791d7551237c90310,12,Banana Pancakes,Thicker Than Water,Ed Sheeran,2008
117,758f72ed6a3c4768b7b1d060dbc65fc5,3,If I Had Eyes,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2013
118,0a41c6a98bf34d559a55370d8f801cb7,9,You and Your Heart,In Between Dreams,Coldplay,2018
119,3a08a2228d584de6b9f29f265e1744e3,15,Upside Down,Sleep Through the Static,Ed Sheeran,2005
120,5794bdb458624fcd95911fcfbbb5516e,12,If I Had Eyes,Sleep Through the Static,Adele,2011
121,eeb69aba2d714dc6ae1c24eed5855fc1,12,Flake,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2020
122,1eb2a6a24a67461f81bcd559f323056d,9,Upside Down,To the Sea,Adele,2011
123,f4ed8f3a62414e91919739e4698a3b8f,8,If I Had Eyes,Brushfire Fairytales,Jack Johnson,2001
124,7c8ae324e8174110aaa64294344db2cc,3,Better Together,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2010
125,f0a798ef3cc3453884c7a1682b1797f3,19,Good People,Brushfire Fairytales,Coldplay,2006
126,6745b67a8deb4d46a7b1105884aa392d,7,Good People,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2011
127,b3e5385961b14fb891d21f2888d5c8f4,8,Flake,Sing-A-Longs and Lullabies for the Film Curious George,John Mayer,2020
128,3323540fadba4ab8b431d385a2389ffb,6,You and Your Heart,Thicker Than Water,Jack Johnson,2018
129,17dc5b3e470e49f38e62ffa44850fc91,13,Flake,Thicker Than Water,John Mayer,2018
130,a97333173c5847aca7c683a10d007f7f,14,If I Had Eyes,Thicker Than Water,Ed Sheeran,2005
131,c82b4b7e034c4541b5a01a7bf4eded0f,8,Better Together,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2001
132,49fb48c84cbe4a0899641afd988f4d93,15,Banana Pancakes,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2005
133,6177673e910349288ef65f7319f0935a,3,You and Your Heart,To the Sea,John Mayer,2013
134,2932e00bebe945dd920e7ab64c717f57,6,The Cove,Sing-A-Longs and Lullabies for the Film Curious George,John Mayer,2013
135,6bbfa3f1593d408dad0b33d5efe85ed7,10,Flake,In Between Dreams,Coldplay,2011
136,652dba7fe9c64ca188d3c156a44d7b8f,10,Better Together,In Between Dreams,Norah Jones,2015
137,5d1c6ab7d98349be9280cabdb658e0d5,5,If I Had Eyes,In Between Dreams,Coldplay,2020
138,7f8e9db2320f46a789127357b23227ef,16,Banana Pancakes,Sleep Through the Static,Coldplay,2000
139,4c3ad613653d4282b2351ea80678cf83,18,You and Your Heart,Sleep Through the Static,Ed Sheeran,2000
140,81f99e8e14694a8abab1d36f605200b8,6,Good People,Brushfire Fairytales,Jack Johnson,2013
141,1a0706377d4b475a99b4a77ff2b20d57,18,Good People,Sing-A-Longs and Lullabies for the Film Curious George,Adele,2000
142,f17dc95191814cbcbd198989be9f9900,5,Flake,Sleep Through the Static,Ed Sheeran,2020
143,300bfde106b6477eb8fa3af93321b904,14,Do You Remember,Sleep Through the Static,John Mayer,2001
144,461c577c10e441709c21942f17e6b443,17,If I Had Eyes,In Between Dreams,Ed Sheeran,2005
145,0c00580efd2c4161bbabfd57f49ef097,12,Breakdown,Sleep Through the Static,Ed Sheeran,2013
146,837282dcd122442197383408c2b4fe7d,16,Do You Remember,Brushfire Fairytales,Ed Sheeran,2011
147,0b5ddbd60df84d6da15df5cfb28b8920,17,Do You Remember,Brushfire Fairytales,Coldplay,2011
148,89c3fd1589864ec184d255b9bc331513,5,Upside Down,In Between Dreams,Ed Sheeran,2000
149,16b1f1aa24e540d6a66d79b9503c7c06,9,Better Together,Sleep Through the Static,Coldplay,2013
150,7a1da908239540748de4ceb830e0e7d7,6,Good People,Thicker Than Water,Ed Sheeran,2000
151,ed3b46a49e7640959a6a6aca6c605b8d,12,Good People,Sing-A-Longs and Lullabies for the Film Curious George,Adele,2006
152,9510112a26a64c5385976f5762105fef,8,You and Your Heart,To the Sea,Ed Sheeran,2006
153,1b9c5b30e5ae460fa85333c9fdc5d985,13,Upside Down,To the Sea,Adele,2020
154,bf9f537f05b44867ad0c5be56c520650,10,Do You Remember,To the Sea,Coldplay,2010
155,7f8f41f8367e44bd83ac855b74a11247,7,If I Had Eyes,In Between Dreams,Adele,2008
156,f0cf42f3cfb3498eb5fa767467ebc825,14,Banana Pancakes,Sleep Through the Static,Norah Jones,2015
157,b1e8c9484136408aa0106ff92bfdb1ce,15,Banana Pancakes,Brushfire Fairytales,Adele,2010
158,43fe857a77d84921a06bc4115ad1e1d0,20,Do You Remember,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2018
159,e4ac57af0cb54c8cb23cedb3d6c9720d,14,The Cove,To the Sea,Coldplay,2008
160,46786fce816244f58eca8625a4683d27,16,You and Your Heart,Thicker Than Water,Adele,2011
161,d0d0af0202bf468e8476f1c981c2387d,19,Good People,Sleep Through the Static,Coldplay,2011
162,26848c3407214894bc6498a9f59eadf0,9,Flake,Sleep Through the Static,Adele,2015
163,e5c826fbe35745f1a365fabba31fea62,19,Good People,In Between Dreams,Adele,2013
164,49cb81ac9c7449978f536b978ee14da4,7,Banana Pancakes,Thicker Than Water,John Mayer,2000
165,4b2f13800d1b49d09f9bde6435bef84d,10,Do You Remember,Brushfire Fairytales,Ed Sheeran,2015
166,230640c34a2640d288397da8f72e9399,8,Flake,In Between Dreams,Norah Jones,2020
167,64c50a6efeb94bd698129cb1dbdda548,4,Do You Remember,Sleep Through the Static,Adele,2010
168,0e8028bcf7f944c5800ac432eb436096,7,Flake,To the Sea,Jack Johnson,2005
169,1f4d79affde149ee85fc96f7652597db,6,Breakdown,In Between Dreams,Norah Jones,2005
170,e0dde5e418fe4166bc635f3b63c38e70,10,Better Together,Sleep Through the Static,John Mayer,2000
171,3a6dd5fb2d6f4cd29e5cdd37e68d5bc7,19,You and Your Heart,Sleep Through the Static,Adele,2011
172,ef2d0686be9b4c788aa0c21b7f3150d4,14,"Sitting, Waiting, Wishing",In Between Dreams,Jack Johnson,2001
173,f4a0cb4f49894e1880c63bb3f7ab329c,2,You and Your Heart,In Between Dreams,Coldplay,2008
174,1fdffbe07c4c42faa794b569e81cdc02,19,Banana Pancakes,Thicker Than Water,Ed Sheeran,2006
175,d264eac96a7248b7b3a33451962305fa,7,Breakdown,Sleep Through the Static,Adele,2015
176,f49ad3662c5347cebd16af36cd9993ff,14,Better Together,Sleep Through the Static,John Mayer,2011
177,b0b4e396b7e84c08b82f75d71e69fb1f,15,Upside Down,Sleep Through the Static,Ed Sheeran,2008
178,d1a713b827ae439ab7b8699a760e976b,6,Good People,To the Sea,Ed Sheeran,2013
179,396679015b0b4fe1acc3cd1464f36c5e,4,Better Together,To the Sea,John Mayer,2006
180,693c31a9500845d98db5fe965b3714e0,6,Breakdown,Brushfire Fairytales,Jack Johnson,2000
181,d31908d33fae4a19badff274d2089415,20,Banana Pancakes,To the Sea,Jack Johnson,2008
182,3620cc00a3a545008ef9f133aab72397,11,Flake,Sing-A-Longs and Lullabies for the Film Curious George,John Mayer,2000
183,598eac38231946d4b53677b85e239532,1,Do You Remember,In Between Dreams,John Mayer,2020
184,b6d08313f5b74c59b75924e9eb799ce8,13,Good People,Sing-A-Longs and Lullabies for the Film Curious George,Adele,2006
185,b06c885c745d4147805da7e82c406ba4,15,If I Had Eyes,Thicker Than Water,Ed Sheeran,2001
186,3979bb776a0149478c02b4be4f564927,16,Do You Remember,Sleep Through the Static,John Mayer,2018
187,f096531603bd4512a03a11d52b9cb8eb,10,Upside Down,In Between Dreams,Coldplay,2010
188,386481ece1bb402c919f566676c837c0,12,Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2018
189,e0b51a60a6e4480f804889b24e51862c,7,If I Had Eyes,Sing-A-Longs and Lullabies for the Film Curious George,Ed Sheeran,2001
190,124b281c92da43c5a4cbbbdc5054e8f0,5,"Sitting, Waiting, Wishing",Brushfire Fairytales,Jack Johnson,2018
191,4aee82010d7d48dca2dc5f10af0be44f,10,If I Had Eyes,To the Sea,Coldplay,2001
192,880c12d0e58047ae88e24ec62aad5175,3,You and Your Heart,Brushfire Fairytales,Jack Johnson,2010
193,a3522f2913a642b481ad502cf98ea1dd,18,You and Your Heart,Thicker Than Water,Ed Sheeran,2020
194,6851d2a01b71461d83e355013687fb17,5,Do You Remember,Thicker Than Water,Jack Johnson,2011
195,cb81ee715e294a3d8c08d8d36d1f886d,9,Flake,In Between Dreams,Coldplay,2011
196,40f577bfba694654a57f097ce732d2a0,17,"Sitting, Waiting, Wishing",To the Sea,John Mayer,2020
197,283964ef24bd46b0bd8cdf69e7b3cf32,10,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Adele,2013
198,252d4806c0dc4d028b3f8eda34ce9806,11,"Sitting, Waiting, Wishing",Brushfire Fairytales,Coldplay,2013
199,638e8bb952cd47b8844e9bb7c87f5873,12,The Cove,Brushfire Fairytales,Norah Jones,2011
200,3825ca9281c9413cac63140656500c37,8,Good People,Brushfire Fairytales,John Mayer,2010
201,0cadce4db7a9485e90152c2876812565,17,Banana Pancakes,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2020
202,91fcf0b5117947c29cf631869ae448b0,18,Do You Remember,Sing-A-Longs and Lullabies for the Film Curious George,John Mayer,2006
203,631d80528d394d79821b1f8b7f0d9306,3,You and Your Heart,To the Sea,John Mayer,2018
204,046007e172fe4374b966c2acfcc3f015,9,You and Your Heart,Sleep Through the Static,John Mayer,2011
205,52d7aa5ea091496dba06e793cb68e75e,9,Banana Pancakes,To the Sea,Jack Johnson,2010
206,056e0f95e88a43a18155703c65f58f56,8,You and Your Heart,Thicker Than Water,Adele,2005
207,30622b6f6f604b5f9cb632f98603aa20,2,Good People,Brushfire Fairytales,Ed Sheeran,2010
208,5c3789c93ec14b37bbcb36fbc7c32577,13,Breakdown,Brushfire Fairytales,John Mayer,2001
209,8de6bace981a4d51a3a660231ca93145,20,"Sitting, Waiting, Wishing",In Between Dreams,Norah Jones,2000
210,19ed79d42cad462689df2f5aece36d7a,11,Flake,Thicker Than Water,Coldplay,2020
211,1620a8e174754b699e8b9085bcaacc95,20,Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2005
212,1391734d25784f159c7683312e91efb5,11,Better Together,Sing-A-Longs and Lullabies for the Film Curious George,Ed Sheeran,2000
213,fca96b2b14a04e8c8eb76c8a6053a2be,18,Good People,Brushfire Fairytales,Adele,2005
214,fb5f792d2fba47d497c8572cee38288f,7,Banana Pancakes,Thicker Than Water,Coldplay,2010
215,1a4445a7191949f7b5b457c83cd973ad,13,The Cove,To the Sea,Norah Jones,2005
216,fa810543872e43b4bc6b25450fda05da,2,"Sitting, Waiting, Wishing",In Between Dreams,Coldplay,2000
217,c66e874b6f3e497782ca40c686bc7d4d,16,The Cove,Thicker Than Water,Ed Sheeran,2013
218,f7e6fdbbe01642c1949b88865d58ca3c,9,Do You Remember,Brushfire Fairytales,Coldplay,2006
219,0afcd5f1938a4e5f8ca49a3f88799d66,11,You and Your Heart,Brushfire Fairytales,John Mayer,2010
220,dc30b629662943bd84fe1a65c0d46468,6,Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Adele,2020
221,3be84492f574441b8f266af195398126,19,Upside Down,To the Sea,John Mayer,2001
222,3b475adfa1e04e108da8deaba1b120fc,11,You and Your Heart,Thicker Than Water,Jack Johnson,2010
223,a83735206747458481a8ce0ebf6cc433,14,You and Your Heart,In Between Dreams,Ed Sheeran,2015
224,093cdd3f54654715bd119fb5619d7c80,7,Better Together,Thicker Than Water,Jack Johnson,2006
225,c8c42b7430264e49b377930903aa9514,3,Good People,Thicker Than Water,Jack Johnson,2005
226,5db8680d89a244ce8b32a6a9001036c6,3,Do You Remember,To the Sea,John Mayer,2015
227,bc4e4c0d355143b28016d2f688bfdf30,7,Good People,Thicker Than Water,Norah Jones,2000
228,d65e6bfe8da641569d4632344d1e021b,17,Upside Down,Sleep Through the Static,Norah Jones,2010
229,3f510335b775437eb6e66cebb3f7b8c7,7,The Cove,Sleep Through the Static,Norah Jones,2015
230,6849d871a7944b9482de7811964fc36b,16,Flake,Brushfire Fairytales,Adele,2010
231,88b789c6885d4375a096cee4e0e8aace,3,Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Ed Sheeran,2020
232,fbc3fd89e4c546c8a0c3e06c100467e8,12,Good People,Sing-A-Longs and Lullabies for the Film Curious George,John Mayer,2010
233,ea79c81418e24b8fa264e66b7a55e72a,14,The Cove,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2011
234,c73b5b8aa44b4bc4a5a606ba642b258b,15,Banana Pancakes,To the Sea,Coldplay,2015
235,f84d0511c9de47059a72e29757605b2f,10,Do You Remember,Sleep Through the Static,Coldplay,2015
236,f5ac1e16d4f7480298d81ba43aad3c8a,13,Upside Down,To the Sea,Ed Sheeran,2006
237,dd831566e4c64a76a875f5140976377f,2,Good People,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2006
238,4da7669f00dc46e2abc17f1c4c9e8965,16,If I Had Eyes,Thicker Than Water,Ed Sheeran,2015
239,d4f6d8e2822042bd8718397bbffa3d9e,3,Flake,To the Sea,Norah Jones,2010
240,20adaaa96a9149de93c64633d2d16406,15,Better Together,Sleep Through the Static,Jack Johnson,2015
241,28f3f7bf3185460d8b7b675351814cf0,19,Flake,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2011
242,eb9e5b70a6ee45079e7a89cf7bf6571e,19,If I Had Eyes,Brushfire Fairytales,Jack Johnson,2011
243,992d9aa76b114f5c826203980d5e4c88,2,Upside Down,Sleep Through the Static,Adele,2015
244,12d31aa4e25849f5927c2f66ae381ab5,7,Banana Pancakes,Brushfire Fairytales,John Mayer,2013
245,3660205b2c194045ae4624c7860b386d,11,You and Your Heart,Brushfire Fairytales,Jack Johnson,2013
246,509ec6db870c4b918b4fd7d935537716,8,Flake,To the Sea,Coldplay,2013
247,8feef79eebff42079648f57be46d08e5,3,Good People,Brushfire Fairytales,Coldplay,2010
248,51dab7ad49f64b6e83adf3fd2cea75b8,16,Upside Down,Sleep Through the Static,Ed Sheeran,2011
249,888d64f4ed1349e592b99769465674f9,11,Good People,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2000
250,8ad5214b662548b8a2e282b6e6444a78,11,If I Had Eyes,Sleep Through the Static,John Mayer,2013
251,2b13fc9e0b4b4da6b4c26f4a39f5c4c9,9,"Sitting, Waiting, Wishing",In Between Dreams,John Mayer,2000
252,cc5d4e9384834eed97d4711fd19448cd,17,You and Your Heart,Brushfire Fairytales,Coldplay,2020
253,b908abd0743148058a536ebef282d4f2,18,You and Your Heart,Brushfire Fairytales,Ed Sheeran,2000
254,5587bb6bc0d24e25a75f711d06f1f661,12,Breakdown,Thicker Than Water,Coldplay,2006
255,681c183c9cd7495d900e31a421c0b1dd,12,You and Your Heart,To the Sea,John Mayer,2010
256,9181e6f93ea84d92b8b06225ab7ded99,19,Do You Remember,Sleep Through the Static,Coldplay,2020
257,0bd644e78a51462f8170602be6c2b13f,11,Upside Down,Sleep Through the Static,Ed Sheeran,2015
